date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2019-01-11,0.0179,0.018000000000000002,0.0173,0.0176,0,USD,-0.0,0,,,,,1208977.4358409708,,,1000.0,,,,,,0.0,0.0,,0.018333333333333337,0.01693333333333333,,0.47619047619047644,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.01765,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-85.05806915188579,,0.0
2019-01-12,0.0176,0.0178,0.017,0.0172,0,USD,-0.0,0,,,-inf,,-0.0,,,1000.0,,,,,,0.0,0.0,,0.018233333333333334,0.016733333333333333,,0.3111111111111113,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0175,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-2.272727272727282,-2.2989518224699523,-2.272727272727282
2019-01-13,0.0172,0.0172,0.016,0.0164,0,USD,-0.0,0,,,-inf,,-0.0,,,1000.0,,,,,,0.0,0.0,,0.018066666666666665,0.016266666666666665,,0.07407407407407557,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.017,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,0.018000000000000002,0.0,1.0,,,,,,,,,,,,,,,,,,,-4.651162790697672,-4.762804898925399,-6.818181818181812
2019-01-14,0.0164,0.0164,0.0155,0.0159,0,USD,-0.0,0,,,-inf,,-0.0,,,1000.0,,,,,,0.0,0.0,,0.017758333333333334,0.01595833333333333,,-0.03240740740740571,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.01675,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,0.017960000000000004,0.0,0.0,,,,,,,,,,,,,,,,,,,-3.0487804878048808,-3.096222560396722,-9.659090909090907
2019-01-15,0.0159,0.0165,0.0153,0.0153,0,USD,-0.0,0,,,-inf,,-0.0,,,1000.0,,,,,,0.0,0.0,,0.017586666666666667,0.015666666666666666,,-0.19097222222222182,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.01665,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,0.017861600000000005,0.0,0.0,,,,,,,,,,,,,,,,,,,-3.7735849056603876,-3.846628082779624,-13.068181818181824
2019-01-16,0.0153,0.0154,0.0147,0.015,0,USD,-0.0,0,,,-inf,,-0.0,,,1000.0,,,,,,0.0,0.0,,0.017277777777777777,0.015444444444444443,,-0.24242424242424176,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.01635,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,0.017707904000000003,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.9607843137254943,-1.9802627296179764,-14.772727272727282
2019-01-17,0.015,0.0157,0.0149,0.0152,0,USD,-0.0,0,,,inf,,0.0,,,1000.0,,,,,,0.0,0.0,,0.017104761904761904,0.015304761904761904,,-0.058201058201058004,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.01635,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,0.017467271680000004,0.0,0.0,,,,,,,,,,,,,,,,,,,1.333333333333342,1.3245226750020933,-13.636363636363647
2019-01-18,0.0152,0.0152,0.0146,0.0146,0,USD,-0.0,0,,,-inf,,0.0,,,1000.0,,,,,,0.0,0.0,,0.016891666666666666,0.015166666666666667,,-0.3285024154589374,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.016300000000000002,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,0.017245889945600005,0.0,0.0,,,,,,,,,,,,,,,,,,,-3.9473684210526327,-4.027389913794011,-17.045454545454554
2019-01-19,0.0146,0.0151,0.0146,0.0147,0,USD,-0.0,0,,,-inf,,0.0,,,1000.0,,,,,,0.0,0.0,,0.016714814814814814,0.01507037037037037,,-0.22522522522522487,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.016300000000000002,,,0.016300000000000002,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,0.016981300951040005,0.0,0.0,,,,,,,,,,,,,,,,,,,0.6849315068493178,0.6825965070399675,-16.47727272727274
2019-01-20,0.0147,0.015,0.0138,0.0142,0,USD,-0.0,0,,,-inf,,0.0,,,1000.0,,,,,,0.0,0.0,0.01573666666666667,0.01659666666666667,0.014876666666666667,10.929887735649242,-0.3934108527131771,0.0,1.0,,,,,,0.0008600000000000003,,,,,,,,,,,,,,,,,,0.0158,,,0.0159,,0.0,0.0,0.0,,0.12041982109227872,0.11738528058877645,,,,,0.016743170855936004,0.0,0.0,,,,,,,,,,,,,,,,,,0.0142,-3.4013605442176797,-3.460552917747517,-19.318181818181824
