date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2015-01-30,0.311,0.35,0.303,0.303,1334,USD,-1334.0,1334,,,,,-445.70588655812946,,,1000.0,,,,,,0.0,0.0,,0.36566666666666664,0.27166666666666667,,0.3333333333333333,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.3265,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-99.6745020778529,,0.0
2015-01-31,0.303,0.303,0.29,0.29,476,USD,-1810.0,858,,,-81.93277310924375,,-1350.0802999627824,,,957.0957095709571,,,,,,0.0,0.0,,0.33649999999999997,0.27649999999999997,,0.2250000000000002,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.31999999999999995,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-4.290429042904298,-4.385188252884942,-4.290429042904298
2015-02-01,0.29,0.29,0.29,0.29,0,USD,-1810.0,858,,,,,-20.42244224422444,,,957.0957095709571,,,,,,0.0,0.0,,0.32099999999999995,0.28099999999999997,,0.2250000000000003,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.31999999999999995,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,0.35,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,-4.290429042904298
2015-02-02,0.29,0.303,0.287,0.303,348,USD,-1462.0,1206,,,22.988505747126478,,15.600000000000014,,,957.0957095709571,,,,,,0.0,0.0,,0.31916666666666665,0.2811666666666667,,0.5745614035087718,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.3185,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,0.3488,0.0,0.0,,,,,,,,,,,,,,,,,,,4.482758620689653,4.385188252884942,0.0
2015-02-03,0.303,0.36,0.302,0.331,1473,USD,-1461.9999999999986,2679,,,141.75152749490837,,151.7188118811883,,,957.0957095709571,,,,,,0.0,0.0,,0.33313333333333334,0.2795333333333333,,0.9601990049751247,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.3235,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,0.287,,1.0,0.0,,,,,,,,,,,,,,,,,,,9.24092409240924,8.838556986769387,9.24092409240924
2015-02-04,0.331,0.331,0.275,0.292,2123,USD,-2296.0357142857156,556,,,-73.85774846914735,,-114.02318207651587,,,957.0957095709571,,,,,,0.0,0.0,,0.3368333333333333,0.2735,,0.2921052631578943,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.3175,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,0.36,0.0,1.0,,,,,,,,,,,,,,,,,,,-11.782477341389741,-12.536457310878113,-3.63036303630363
2015-02-05,0.292,0.368,0.273,0.275,2430,USD,-4623.719924812031,-1874,,,68.41563786008224,,-391.6145966974298,,,957.0957095709571,,,,,,0.0,0.0,,0.3459047619047619,0.2644761904761905,,0.12923976608187165,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.3205,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,0.275,,1.0,0.0,,,,,,,,,,,,,,,,,,,-5.821917808219168,-5.998270460171029,-9.24092409240923
2015-02-06,0.275,0.27699999999999997,0.27399999999999997,0.275,690,USD,-4853.719924812006,-1184,,,-19.565217391304383,,-141.4726027397257,,,957.0957095709571,,,,,,0.0,0.0,,0.3374583333333333,0.26545833333333335,,0.13252314814814828,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.3205,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,0.368,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,-9.24092409240923
2015-02-07,0.275,0.275,0.275,0.275,0,USD,-4853.719924812006,-1184,,,,,0.0,,,957.0957095709571,,,,,,0.0,0.0,,0.3305185185185185,0.26651851851851854,,0.13252314814814822,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.3205,,,0.3205,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,0.368,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,-9.24092409240923
2015-02-08,0.275,0.275,0.275,0.275,0,USD,-4853.719924812006,-1184,,,,,0.0,,,957.0957095709571,,,,,,0.0,0.0,0.29616666666666663,0.3249666666666666,0.26736666666666664,19.448508722566118,0.132523148148149,0.0,0.0,,,,,,0.0288,,,,,,,,,,,,,,,,,,0.3205,,,0.3205,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,0.36612,0.0,0.0,,,,,,,,,,,,,,,,,,0.275,0.0,0.0,-9.24092409240923
2015-02-09,0.275,0.275,0.275,0.275,0,USD,-4853.719924812006,-1184,,,,,0.0,,,957.0957095709571,,,,,,0.0,0.0,0.29179999999999995,0.31589999999999996,0.2677,16.518163125428366,0.15145228215767706,0.0,0.0,,,,,,0.02592,,,,,,,,,,,,,,,,,,0.3205,,,0.3205,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,0.3642776,0.0,0.0,,,,,,,,,,,,,,,,,,0.275,0.0,0.0,-9.24092409240923
2015-02-10,0.275,0.275,0.275,0.275,0,USD,-4853.719924812006,-1184,,,,,0.0,,,957.0957095709571,,,,,,0.0,0.0,0.2898666666666666,0.3126666666666666,0.2670666666666667,15.731370745170167,0.17397660818713512,0.0,0.0,,,,,,0.023327999999999998,,,,,0.28824999999999995,,0.28517238730223476,,,,,,,,,,,0.3205,,,0.3205,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,0.362472048,0.0,0.0,,,,,,,,,,,,,,,,,,0.275,0.0,0.0,-9.24092409240923
2015-02-11,0.275,0.275,0.275,0.275,0,USD,-4853.719924812006,-1184,,,,,0.0,,,957.0957095709571,,,,,,0.0,0.0,0.2883666666666666,0.3111666666666666,0.2655666666666666,15.81320078603629,0.20687134502924145,0.0,0.0,,,,,,0.0209952,,,,,0.28591666666666665,,0.2836074046403525,,,,,,,,,,,0.3205,,,0.3205,,0.0,0.0,0.0,,93.92486301916934,94.83662534598655,,,,,0.36070260704,0.0,0.0,,,,,,,,,,,-9.24092409240923,,,,,,,0.275,0.0,0.0,-9.24092409240923
