date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2020-12-25,3.12,3.12,2.9,2.95,870245,USD,-474679.09090908914,870245,,,,,-703627.997583712,,,1000.0,,,,,,0.0,0.0,,3.2100000000000004,2.7699999999999996,,0.40909090909090967,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.01,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-92.87697463520672,,0.0
2020-12-26,2.95,2.95,2.87,2.92,476023,USD,-355673.34090909176,394222,,,-1.6805910638771648,,-813098.1397785614,,,989.8305084745762,,,,,,0.0,0.0,,3.101666666666667,2.8016666666666667,,0.3944444444444436,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.016949152542379,-1.022155407153802,-1.016949152542379
2020-12-27,2.92,3.03,2.9,2.9,566733,USD,-922406.3409090918,-172511,,,1.2616170224779495,,-8722.644741119151,,,989.8305084745762,,,,,,0.0,0.0,,3.0922222222222224,2.8055555555555554,,0.3294573643410852,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,3.12,0.0,1.0,,,,,,,,,,,,,,,,,,,-0.6849315068493178,-0.6872879287762146,-1.6949152542372947
2020-12-28,2.9,3.02,2.89,2.96,932708,USD,-850659.571678324,760197,,,-0.13937909828155987,,15415.67401983941,,,989.8305084745762,,,,,,0.0,0.0,,3.0908333333333333,2.810833333333333,,0.5327380952380956,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,3.1156,0.0,0.0,,,,,,,,,,,,,,,,,,,2.0689655172413834,2.047853134354072,0.3389830508474523
2020-12-29,2.96,2.96,2.87,2.92,831346,USD,-758287.793900548,-71149,,,-0.4330326963743132,,8063.001491146328,,,976.4544205222171,,,,,,0.0,0.0,,3.074,2.8139999999999996,,0.4076923076923085,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,3.106576,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.3513513513513487,-1.3605652055778572,-1.016949152542379
2020-12-30,2.92,2.92,2.86,2.92,443752,USD,-314535.793900548,372603,,,-0.3380266455137125,,-11234.405405405416,,,976.4544205222171,,,,,,0.0,0.0,,3.0549999999999997,2.818333333333333,,0.4295774647887336,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.99,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,3.09238144,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.016949152542379
2020-12-31,2.92,3.17,2.82,3.17,859070,USD,544534.206099452,1231673,,,4.277881895538199,,73550.51369863014,,,976.4544205222171,,,,,,0.0,0.0,,3.1047619047619044,2.8019047619047615,,1.2154088050314475,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,2.86,,1.0,0.0,,,,,,,,,,,,,,,,,,,8.56164383561644,8.214797160899877,7.457627118644061
2021-01-01,3.17,3.69,3.06,3.65,3817230,USD,3877036.5870518326,5048903,,,6.2715634111646406,,651553.7944557279,,,976.4544205222171,,,,,,0.0,0.0,,3.22875,2.8062499999999995,,1.9970414201183426,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.255,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,2.86,,0.0,0.0,,,,,,,,,,,,,,,,,,,15.14195583596214,14.099557970521094,23.728813559322013
2021-01-02,3.67,3.75,3.41,3.5,1769191,USD,3044476.116463596,3279712,,,3.9396537739565707,,505296.801305043,,,936.3261566651397,,,,,,0.0,0.0,,3.3025925925925925,2.851481481481481,,1.4376026272577995,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,3.285,,,3.285,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,2.82,,0.0,0.0,,,,,,,,,,,,,,,,,,,-4.109589041095885,-4.196419909903204,18.644067796610166
2021-01-03,3.5,3.75,3.47,3.47,989320,USD,2055156.116463596,2290392,,,0.8490680467391745,,-81186.36516634042,,,928.3005038937242,,,,,,0.0,0.0,3.1256666666666666,3.3566666666666665,2.8946666666666667,14.78084675269275,1.2453102453102463,1.0,0.0,,,,,,0.23099999999999996,,,,,,,,,,,,,,,,,,3.285,,,3.285,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,2.8758,,0.0,0.0,,,,,,,,,,,,,,,,,,3.47,-0.8571428571428563,-0.8608374536600127,17.627118644067785
2021-01-04,3.48,3.83,3.29,3.6,1241851,USD,2239134.0423895223,3532243,,,-2.174173874321479,,38044.7915191437,,,928.3005038937242,,,,,,0.0,0.0,3.184,3.446999999999999,2.921,16.52010050251254,1.290874524714831,1.0,0.0,,,,,,0.26189999999999997,,,,,,,,,,,,,,,,,,3.325,,,3.325,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,2.928252,,0.0,0.0,,,,,,,,,,,,,,,,,,3.490121501335634,3.746397694524495,3.6779251503296306,22.033898305084733
2021-01-05,3.61,4.32,3.57,4.25,2403714,USD,4194154.7623895206,5935957,,,12.012660408018599,,480528.5939000959,,,928.3005038937242,,,,,,0.0,0.0,3.2973333333333334,3.6273333333333326,2.967333333333333,20.016174686615436,1.9434343434343448,1.0,0.0,,,,,,0.31071,,,,,3.2675,,3.40774035985373,,,,,,,,,,,3.5700000000000003,,,3.5700000000000003,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,3.0003918400000003,,0.0,0.0,,,,,,,,,,,,,,,,,,3.6854323585785402,18.055555555555557,16.598513747426114,44.06779661016949
2021-01-06,4.25,4.88,4.25,4.57,2925132,USD,4240585.429056191,8861089,,,13.35324354593228,,654249.1496078433,,,928.3005038937242,,,,,,0.0,0.0,3.459666666666667,3.839666666666666,3.079666666666666,21.96743424221987,1.9609649122807025,1.0,0.0,,,,,,0.34263899999999997,,,,,3.4025,,3.5865495352608483,,,,,,,,,,,3.8499999999999996,,,3.8499999999999996,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,3.132352656,,0.0,0.0,,,,,,,,,,,54.91525423728814,,,,,,,3.944423960949275,7.529411764705896,7.259422196978793,54.91525423728814
2021-01-07,4.6,4.78,4.47,4.47,1471765,USD,2768820.429056191,7389324,,364486.3478563112,1.2637887162692447,,188040.30952760976,3.6762643051428165,92.6583583750048,907.9875825831393,,,,,,0.0,0.0,3.6213333333333337,4.019333333333333,3.2233333333333327,21.980854197349046,1.5661641541038525,1.0,0.0,,,,,,0.33937510000000004,1.9898380980529073,,,,3.5316666666666663,,3.722464991374564,,,,,,,,,,,3.8499999999999996,,,3.8499999999999996,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,3.34207033728,,0.0,0.0,84.39263227992218,,,,,,80.09708737864078,,-19.90291262135923,,53.08219178082191,,,,,,,4.069290350566008,-2.1881838074398363,-2.2124796280635906,51.52542372881355
2021-01-08,4.48,5.79,4.32,5.79,3025755,USD,5794575.429056191,10415079,,882987.8124482669,20.890653737662173,4.239637655670757,861306.6202105944,3.9295670693128506,94.03565399281175,907.9875825831393,,,,,,0.0,0.0,3.859666666666667,4.395666666666665,3.3236666666666657,27.774419207185407,2.300684079601992,1.0,0.0,,,,,,0.45243759,1.9898380980529073,,,,3.7724999999999995,,4.040547300393862,,1.2452504317789248,0.5388601036269411,0.7063903281519837,,,,-836.1672784729813,-836.1672784729813,0.0,4.305,,,4.305,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,3.5266218968064003,,0.0,0.0,91.46760588968523,,,,,,100.0,,-0.0,,99.65517241379311,,,,,,,4.625129414200855,29.53020134228188,25.87438829594264,96.27118644067795
2021-01-09,5.71,7.21,5.71,7.19,4069594,USD,9755646.922389526,14484673,,1570765.496384229,51.78649270664346,8.058715067850802,1877523.9097726936,4.393991987636538,96.6674455156418,907.9875825831393,,,,,,0.0,0.0,4.24,4.919999999999999,3.5599999999999996,32.0754716981132,2.669117647058825,1.0,0.0,,,,,,0.557193831,1.9711887930822478,,,,4.124999999999999,,4.5250784849486525,,1.393897364771147,0.4091539528432721,0.9847434119278748,,,,-759.0902305920755,-797.6287545325283,38.53852394045282,5.135,,,5.015,,0.0,60.75620650254492,3.375921886361276,,42.90260775862069,38.96355227882038,,,,3.8434948312535044,,0.0,0.0,94.37832229158576,,,,,,99.54441913439636,93.21383550434571,-0.45558086560363487,,142.90540540540542,,,,,,,5.5388195292047815,24.179620034542324,21.655888014805157,143.72881355932202
2021-01-10,7.3,7.32,6.24,6.55,1865249,USD,8961189.014982117,12619424,,1175833.3740436248,18.528357339958383,9.292053661956547,817981.8571081983,4.586504745591565,96.61677441676665,827.1653221028598,,,,,,0.0,0.0,4.605,5.357999999999999,3.8519999999999994,32.70358306188923,1.7915006640106252,1.0,0.0,,,,,,0.6094744479,3.056114928714745,,,,4.427499999999999,,4.836604871879629,,1.4093137254901924,0.47426470588235164,0.9350490196078407,,,,-691.0753193252486,-762.1109427967684,71.03562347151978,5.305,,,5.07,,0.0,53.44008638659366,2.887526568661623,,42.90260775862069,38.96355227882038,,,,4.32,,0.0,0.0,80.8072026189294,,,,,,82.88888888888889,94.14443600776177,-17.11111111111112,,124.31506849315068,,,,,,,5.747620631220788,-8.90125173852574,-9.322612208579484,122.03389830508473
2021-01-11,6.5,6.63,5.88,6.47,2066233,USD,10145829.26831545,10553191,,984243.086323107,-19.056418129029993,7.940836588331661,-191266.94262812022,4.770662051535294,86.01586749053723,827.1653221028598,,,,,,0.0,0.0,4.891,5.655999999999999,4.1259999999999994,31.281946432222433,1.5320261437908504,1.0,0.0,,,,,,0.6235270031100001,4.062336554603966,,,,4.723333333333332,,5.087896430051995,,1.340546697038721,0.5888382687927093,0.7517084282460117,,,,-627.0311491096127,-728.3409943749795,101.30984526536679,5.305,,,5.07,,0.0,48.222701993930585,7.291881627004858,,42.90260775862069,38.96355227882038,,,,4.86,,0.0,0.0,79.27272031164338,,,,,,81.11111111111111,87.84813971146548,-18.8888888888889,,121.57534246575341,,,,,,,5.873121021863196,-1.2213740458015265,-1.2288941134351417,119.32203389830507
