date,close,volume,marketCap,cpiaucns,cpiaucns_multiplier,cpi_adj_price,20d_vol_avg,100d_vol_avg,daily_diff,daily_returns,daily_diff_pc_change,daily_volume_diff,daily_volume_pc_change,gain,loss,7d_avg_gain,7d_avg_loss,7d_rs,7d_rsi,14d_avg_gain,14d_avg_loss,14d_rs,14d_rsi,50d_avg_gain,50d_avg_loss,50d_rs,50d_rsi,200d_avg_gain,200d_avg_loss,200d_rs,200d_rsi,log_ret,7d_historic_volatility_of_risk-adjusted_return,14d_historic_volatility_of_risk-adjusted_return,252d_historic_volatility_of_risk-adjusted_return,7d_sharpe_ratio,14d_sharpe_ratio,50d_sharpe_ratio,200d_sharpe_ratio
2017-11-09,0.22537665242356383,3190025.855165697,78881828.34824735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-10,0.189036422857878,2121175.2731304658,66162748.000257306,,,,,,-0.03634022956568583,0.19223929979360266,,-1068850.5820352314,,0.0,0.04,,,,,,,,,,,,,,,,,-0.17583330335500236,,,,,,,
2017-11-11,0.18122267085020952,2229297.6966014686,63427934.797573335,,,,,,-0.007813752007668484,0.04311685712946467,-0.7849834164216013,108122.42347100284,-1.1011576597218329,0.0,0.01,,,,,,,,,,,,,,,,,-0.042213209176497735,,,,,,,
2017-11-12,0.1700132017426718,5361145.800394995,59504620.60993513,,,,,,-0.011209469107537728,0.065932933399514,0.43458214396062966,3131848.1037935265,27.965759398035054,0.0,0.01,,,,,,,,,,,,,,,,,-0.06385040950510001,,,,,,,
2017-11-13,0.1806910270317246,2942234.064639167,63241859.46110361,,,,,,0.010677825289052811,-0.05909438594965799,-1.9525719002938848,-2418911.735755828,-1.7723592127044294,0.01,0.0,,,,,,,,,,,,,,,,,0.06091244830601661,,,,,,,
2017-11-14,0.184052414487514,955694.128460412,64418345.0706298,,,,,,0.0033613874557893997,-0.018263207603926523,-0.6851992456520539,-1986539.936178755,-0.17874641442506856,0.0,0.0,,,,,,,,,,,,,,,,,0.01843203873794108,,,,,,,
2017-11-15,0.190234703697849,1734784.90838908,66582146.294247,,,,,,0.006182289210335007,-0.03249821977883893,0.839207556893538,779090.779928668,-1.39218480622509,0.01,0.0,,,,,,,,,,,,,,,,,0.033038014058021314,,,,,,,
2017-11-16,0.168815435262205,1729243.99580533,59085402.3417718,,,,,,-0.021419268435644012,0.12687979865333698,-4.464617669428529,-5540.912583749974,-1.0071120243320775,0.0,0.02,0.002857142857142857,0.011428571428571429,0.25,20.0,,,,,,,,,,,,,-0.1194525733387235,0.22723145226401045,,,0.2799778227093574,,,
2017-11-17,0.157111951079117,2431887.65775906,54989182.8776909,,,,,,-0.011703484183088003,0.0744913681149213,-0.45360019095646975,702643.66195373,-127.8100969530538,0.0,0.01,0.002857142857142857,0.007142857142857143,0.4,28.57142857142857,,,,,,,,,,,,,-0.07184740367115805,0.17262754112577527,,,0.12900544719881799,,,
2017-11-18,0.170396872923389,1955671.00105813,59638905.5231861,,,,,,0.013284921844272018,-0.07796458712153109,-2.135125372619314,-476216.6567009301,-1.6777498787604372,0.01,0.0,0.004285714285714286,0.005714285714285713,0.7500000000000001,42.857142857142854,,,,,,,,,,,,,0.08117164740124383,0.2011938061252912,,,-0.11152776335076522,,,
2017-11-19,0.161562072015449,1640406.85843999,56546725.2054073,,,,,,-0.008834800907940005,0.05468363210330196,-1.665024680724731,-315264.14261814,-0.33798169765378505,0.0,0.01,0.004285714285714286,0.005714285714285713,0.7500000000000001,42.857142857142854,,,,,,,,,,,,,-0.05324084717299615,0.198062335421424,,,-0.134362011163085,,,
2017-11-20,0.161699324563346,1906351.79618848,56594763.5971711,,,,,,0.00013725254789698216,-0.000848813365594614,-1.0155354432235852,265944.9377484899,-1.843562276191405,0.0,0.0,0.0028571428571428567,0.005714285714285713,0.5,33.33333333333333,,,,,,,,,,,,,0.0008491738116414016,0.18242461689761263,,,-0.027396295362520057,,,
2017-11-21,0.15534024599226,1941859.28193498,54369086.0972911,,,,,,-0.006359078571085974,0.04093645230485099,-47.3312242178478,35507.48574650008,-0.866485573866872,0.0,0.01,0.0028571428571428567,0.007142857142857143,0.39999999999999997,28.57142857142857,,,,,,,,,,,,,-0.04012074291346779,0.1789455166671728,,,0.09464507699761224,,,
2017-11-22,0.171994652205768,2596575.92430811,60198128.2720188,,,,,,0.016654406213508,-0.09683095375304629,-3.618996766172027,654716.64237313,17.43883419534047,0.02,0.0,0.004285714285714284,0.007142857142857143,0.5999999999999998,37.499999999999986,,,,,,,,,,,,,0.10184553793972029,0.2143600642560897,,,-0.03277349919089308,,,
2017-11-23,0.166836303540755,3454601.95211284,58392706.2392644,,,,,,-0.005158348665013024,0.030918622359389136,-1.3097287648015459,858026.02780473,0.3105303459137241,0.0,0.01,0.004285714285714284,0.005714285714285713,0.7499999999999999,42.857142857142854,0.0035714285714285718,0.00857142857142857,0.41666666666666674,29.411764705882362,,,,,,,,,-0.030450271133387163,0.17903916533815167,0.28837680249592973,,-0.2462134571726284,0.05717323784208504,,
2017-11-24,0.193630018866783,3765698.54125932,67770506.603374,,,,,,0.026793715326028006,-0.13837583388587082,-6.194242783113684,311096.58914647996,-0.6374275615596133,0.03,0.0,0.00857142857142857,0.004285714285714284,2.0000000000000004,66.66666666666667,0.005714285714285714,0.005714285714285713,1.0000000000000002,50.0,,,,,,,,,0.14893610558282,0.21131790251541116,0.28402058233265215,,-0.6107565868543021,-0.25451317376248,,
2017-11-25,0.181614185954014,2290381.75976242,63564965.0839048,,,,,,-0.012015832912769003,0.06616131250788682,-1.448457138793908,-1475316.7814969001,-5.7423110151884265,0.0,0.01,0.007142857142857141,0.005714285714285713,1.2499999999999998,55.55555555555556,0.005714285714285714,0.005714285714285713,1.0000000000000002,50.0,,,,,,,,,-0.06406463934947482,0.21990607339830048,0.2884660100588422,,-0.3280377456481678,-0.22874962933819612,,
2017-11-26,0.180970294760191,1901281.92002579,63339603.1660668,,,,,,-0.000643891193822993,0.0035579938391339105,-0.9464131035694794,-389099.83973662974,-0.736260141132647,0.0,0.0,0.007142857142857141,0.004285714285714284,1.6666666666666667,62.50000000000001,0.005714285714285714,0.004999999999999999,1.142857142857143,53.33333333333334,,,,,,,,,-0.0035516791530310066,0.20880352075996236,0.2802428158143892,,-0.44322093249254585,-0.2957974849989951,,
2017-11-27,0.185539034791525,4221341.35026575,64938662.1770336,,,,,,0.0045687400313340065,-0.024624144652188873,-8.0955156323973,2320059.4302399596,-6.962632705812317,0.0,0.0,0.007142857142857141,0.004285714285714284,1.6666666666666667,62.50000000000001,0.005,0.004999999999999999,1.0000000000000002,50.0,,,,,,,,,0.024932389603075533,0.20812480760566457,0.27469234090745914,,-0.4889964421395858,-0.2679117010641638,,
2017-11-28,0.182857171612691,5358820.6487581,64000010.0644418,,,,2686424.020722979,,-0.0026818631788340097,0.01466643695284997,-1.5870027973666394,1137479.2984923506,-0.5097197581810639,0.0,0.0,0.007142857142857141,0.002857142857142856,2.5000000000000004,71.42857142857143,0.005,0.004999999999999999,1.0000000000000002,50.0,,,,,,,,,-0.014559924937923574,0.2010090751372777,0.2745340888697363,,-0.559138444315919,-0.23585599362648238,,
