date,close,volume,marketCap
2015-08-07,2.83162,90622.0,0.0
2015-08-08,1.33075,368070.0,80339475.0
2015-08-10,0.6875857090838133,400464.0745435489,41556309.21112176
2015-08-11,1.067378879429946,1518998.2053373822,64539006.306272194
2015-08-12,1.256613175101658,2073893.3450314845,76013261.05415402
2015-08-13,1.825395446319752,4380142.704000345,110468836.22388984
2015-08-14,1.825974891355639,4355618.378552116,110555313.26025319
2015-08-15,1.670949668937766,2519633.2708181436,101215246.3781064
2015-08-16,1.476607254205028,3032657.656405736,89480939.24025029
2015-08-17,1.20387143115441,1880092.2147175823,87313387.94547918
2015-08-18,1.281393051659975,1696013.472335737,92957858.0620156
2015-08-19,1.252738651679077,1537200.8409894055,90920695.86547753
2015-08-20,1.484195074171873,2967730.5022106003,107749185.84108424
2015-08-21,1.40631477379752,1742881.8081502889,102131022.8278611
2015-08-22,1.380721536476638,914588.6539745613,100308763.78229792
2015-08-23,1.355182100454404,1610695.8727506467,98488001.44464436
2015-08-24,1.24657168269902,696476.5553267623,90625948.31797116
2015-08-25,1.160828327907264,1053169.3862050485,84423109.08066371
2015-08-26,1.119639156482987,1151700.041593045,81454879.46968535
2015-08-27,1.133690694008804,681460.2394411361,82504022.8230964
2015-08-28,1.188895698722608,715178.7899308845,86549490.63266213
2015-08-29,1.174343905252208,607200.891453558,85515599.87435573
2015-08-30,1.322350879918967,1045589.321256734,96321049.6917207
2015-08-31,1.353368417391325,1197102.0492865555,98608290.53954794
2015-09-01,1.350786688734447,610368.2430900692,98446826.49425755
2015-09-02,1.278810765308764,629746.119316548,93224371.25915022
2015-09-03,1.262770719520856,583923.7452450913,92075482.63297981
2015-09-04,1.269520099878085,333502.66115673864,92596631.55333723
2015-09-05,1.334976229386974,350815.4668948872,97402782.61913483
2015-09-06,1.29888313413515,317470.0943419727,94801706.70501994
2015-09-07,1.256223439965584,487005.2028033498,91718481.31789045
2015-09-08,1.236033260936938,419148.8018252036,90274690.39947063
2015-09-09,1.206529945086729,367774.3318949896,88150718.66876175
2015-09-10,1.167234841402144,639527.9174929534,85308945.82326
2015-09-11,0.9765090926915041,1901710.694902119,71394234.94958797
2015-09-12,1.038203585306107,800623.2998453851,75931677.01254052
2015-09-13,0.9386521502557871,658895.1959938455,68673818.80135794
2015-09-14,0.87402296242848,739213.7259180878,63965969.21105757
2015-09-15,0.9418231857274298,725816.471124354,68951445.2301325
2015-09-16,0.9032199195724051,629370.0849072988,66147947.57992838
2015-09-17,0.8830787289063511,910704.9512256783,64693831.07862287
2015-09-18,0.8460709193872474,478606.3969218407,62003275.12077277
2015-09-19,0.8821037996855977,387803.6167124918,64666306.22983543
2015-09-20,0.9363277614869444,514836.10862474947,68666556.12460059
2015-09-21,0.9010928790890973,429253.50431215833,66105164.81214318
2015-09-22,0.8971422650551497,485738.9553869821,65835322.779180124
2015-09-23,0.8940475222994914,204065.40590088838,65633959.754653834
2015-09-24,0.8160373080893036,818263.068224302,59927327.71396765
2015-09-25,0.7405192998515878,901151.6190115963,54400658.247102216
2015-09-26,0.7778014991497727,379124.1859007531,57158415.438244216
2015-09-27,0.7213584231130563,408380.6390382605,53028193.82255717
2015-09-28,0.5830570046974366,1214056.2117823916,42874816.973063745
2015-09-29,0.657832489515796,936630.3296074625,48389042.902712226
2015-09-30,0.7347630535971914,640217.6226458604,54065419.507539704
2015-10-01,0.6858121897138929,588839.7815035215,50481342.528862044
2015-10-02,0.6762217338750541,220969.48495190177,49792779.28891763
2015-10-03,0.6874757575411915,163820.85347975112,50638684.01549935
2015-10-04,0.6675468579375702,104370.45073472841,49187272.3502002
2015-10-05,0.6282550742429386,221647.20706785333,46307572.65224096
2015-10-06,0.64565776230867,268523.03787593375,47605896.39364778
2015-10-07,0.6100126973575233,216715.50684861522,44984157.19104538
2015-10-08,0.6234833021554507,310876.1441075317,45977519.79859987
2015-10-09,0.650768764684828,379233.1220398259,47989631.2526218
2015-10-10,0.6297949417268295,145554.93808006204,46490996.55001768
2015-10-11,0.6370439806918999,87074.79961764446,47026115.24213034
2015-10-12,0.628787281832734,108895.52921643597,46416611.842303865
2015-10-13,0.6026272723327593,297117.07710031554,44485499.29942276
2015-10-14,0.517689435598842,944847.8047126097,38272635.02078042
2015-10-15,0.5614990042588522,376563.0715091993,41527413.54435173
2015-10-16,0.5331480200007419,247071.24723507115,39443831.31743269
2015-10-17,0.5490283089973744,317377.7617794195,40632190.61699083
2015-10-18,0.5184445473595721,133661.67045159836,38382124.41691709
2015-10-19,0.4870672984193326,240250.37656809334,36070935.31062339
2015-10-20,0.4329785990312485,352361.0618641571,32076052.631905656
2015-10-21,0.4397689744048958,599041.0131522977,32590298.008333907
2015-10-22,0.5654615066780281,979304.0724230009,41918540.78268511
2015-10-23,0.540737766800056,866798.4888542511,40100107.0136459
2015-10-24,0.5685737685118122,259157.66241063716,42179070.75754259
2015-10-25,0.6319388092249569,476617.738601437,46895926.257060364
2015-10-26,0.7439579097275092,1174026.819064362,55226993.78944921
2015-10-27,0.8544552504832845,1887568.9059290001,63451496.574236006
2015-10-28,1.010409721259424,2447633.7976275166,75057962.81264551
2015-10-29,1.163748635576317,2236842.210445422,86478981.5524642
2015-10-30,1.041849054896385,2384549.998119618,77447839.42741764
2015-10-31,0.9070916284167455,652271.5873221146,67453442.47710526
2015-11-01,1.058541941291151,603996.1990296076,78742733.24541084
2015-11-02,0.9550458603200441,970665.6783058537,71066352.05814125
2015-11-03,1.002344802929553,1878273.0109212757,74613449.56251672
2015-11-04,0.9018086605486009,3218064.880847628,67152505.55125615
2015-11-05,0.906601136813436,1202885.3800460405,67532501.09696001
2015-11-06,0.9094421987209234,913629.1696859167,67767390.10082617
2015-11-07,0.922482091197951,904631.8699629814,68761146.27837914
2015-11-08,1.030499514179018,1040086.7545033679,76839299.32470989
2015-11-09,0.9958029845225516,1972521.3874033373,74277547.07634276
2015-11-10,0.9348342219016499,865031.5412400892,69753492.14382021
2015-11-11,0.7887611772679245,1243322.7527190507,58873875.70678452
2015-11-12,0.90074206650109,826829.6689207307,67254888.20415637
2015-11-13,0.9040815579448993,545086.2658886773,67527257.40972713
2015-11-14,0.8842289054037304,361586.11600976856,66066714.4889687
2015-11-15,0.9108255481961639,432023.407831642,68078325.7946219
2015-11-16,0.9338407839578461,616346.9298519328,69812830.40735959
2015-11-17,0.9952733578828389,1128249.5445129166,74440734.3005621
2015-11-18,0.9944285799213992,687203.3331021931,74402718.74542972
2015-11-19,0.9514712892422663,434385.481510446,71212297.76056388
2015-11-20,0.9268031189591781,606560.338362119,69388368.57982641
2015-11-21,0.9735724342696529,454926.9190034523,72914368.80252853
2015-11-22,0.96473853235469,371962.8833336563,72276339.25126061
2015-11-23,0.9452203362307195,437126.39426833094,70839197.81949022
2015-11-24,0.8993611354663962,354914.08621214016,67424299.39769948
2015-11-25,0.8677070917677269,708867.1776788787,65072847.332706206
2015-11-26,0.8948747707881739,959696.4719438321,67132055.60740013
2015-11-27,0.8707128002545287,398595.4996438545,65341845.392888874
2015-11-28,0.9173987754375574,465064.93868912815,68868768.28657502
2015-11-29,0.8717449537893333,436939.13020833576,65463342.96555324
2015-11-30,0.8736009320890139,775372.5405749859,65624853.97047546
2015-12-01,0.8750039976447704,643109.8579217136,65752486.02943543
2015-12-02,0.8227337811375524,494205.89284799533,61844779.03171155
2015-12-03,0.8247651888810106,541681.1368684795,62018808.085017644
2015-12-04,0.8387909512811372,241947.49444270384,63094325.07829986
2015-12-05,0.8645837297560469,226084.41071520853,65056337.64166404
2015-12-06,0.8349924869606098,429681.2894745185,62850264.41510667
2015-12-07,0.8007502839259887,494657.61802976346,60292476.61320164
2015-12-08,0.8188527088752511,435966.80884823814,61675859.110314034
2015-12-09,0.7918293483107267,627128.9260492469,59661067.18085799
2015-12-10,0.8474422420390545,374543.00586710183,63872552.27588074
2015-12-11,0.9167389424445134,765839.8738111159,69119370.62718369
2015-12-12,0.9712583097472548,1385279.0437324098,73250296.07272834
2015-12-13,0.9583031735578238,279257.6104401555,72302484.28350292
2015-12-14,0.9954898346339888,562723.38601539,75133022.39506158
2015-12-15,1.0170637001075,573171.6204861925,76787012.60189861
2015-12-16,0.9889124423815733,207316.98728030306,74686005.22814946
2015-12-17,0.9402283251940493,641112.3505143464,71033582.40629953
2015-12-18,0.9211717831099321,297866.39712775947,69616990.9878865
2015-12-19,0.9096329169325174,333313.4238328429,68767429.85047308
2015-12-20,0.9032316429089903,467489.5933259762,68305705.24538197
2015-12-21,0.8968062870238118,543846.3978062818,67842615.39188164
2015-12-22,0.8789593130596947,468144.5604338489,66514758.19337365
2015-12-23,0.8675654552724993,333657.8603050268,65674405.654046126
2015-12-24,0.861363016488459,353090.34035883,65226512.003279686
2015-12-25,0.8707183439745884,169208.7604895867,65957619.83793369
2015-12-26,0.8530178649009634,424123.09670471714,64637552.400460914
2015-12-27,0.8588870868776094,208247.21865890338,65104495.77797423
2015-12-28,0.8421696130307879,228592.5875954824,63858382.55360898
